solving up to 7 pieces four ways
    2.4%  1289/4746 slices  0.02B/0.97B positions  4.7M/s  5s elapsed, 3m left
    4.6%  1881/4746 slices  0.04B/0.97B positions  4.4M/s  10s elapsed, 3m left
    6.8%  2318/4746 slices  0.07B/0.97B positions  4.3M/s  15s elapsed, 3m left
    9.1%  2369/4746 slices  0.09B/0.97B positions  4.3M/s  20s elapsed, 3m left
   11.4%  2395/4746 slices  0.11B/0.97B positions  4.3M/s  26s elapsed, 3m left
   13.6%  2421/4746 slices  0.13B/0.97B positions  4.2M/s  31s elapsed, 3m left
   16.6%  2610/4746 slices  0.16B/0.97B positions  4.4M/s  36s elapsed, 3m left
   18.9%  2750/4746 slices  0.18B/0.97B positions  4.5M/s  41s elapsed, 3m left
   21.2%  2850/4746 slices  0.20B/0.97B positions  4.4M/s  46s elapsed, 3m left
   23.2%  2922/4746 slices  0.22B/0.97B positions  4.4M/s  51s elapsed, 3m left
   25.3%  2995/4746 slices  0.24B/0.97B positions  4.3M/s  56s elapsed, 3m left
   27.3%  3057/4746 slices  0.26B/0.97B positions  4.3M/s  61s elapsed, 3m left
   29.4%  3128/4746 slices  0.28B/0.97B positions  4.3M/s  66s elapsed, 3m left
   31.4%  3190/4746 slices  0.30B/0.97B positions  4.3M/s  71s elapsed, 3m left
   33.4%  3316/4746 slices  0.32B/0.97B positions  4.2M/s  76s elapsed, 3m left
   35.4%  3517/4746 slices  0.34B/0.97B positions  4.2M/s  81s elapsed, 2m left
   37.4%  3610/4746 slices  0.36B/0.97B positions  4.2M/s  86s elapsed, 2m left
   39.4%  3737/4746 slices  0.38B/0.97B positions  4.2M/s  2m elapsed, 2m left
   41.5%  3899/4746 slices  0.40B/0.97B positions  4.2M/s  2m elapsed, 2m left
   43.7%  3979/4746 slices  0.42B/0.97B positions  4.1M/s  2m elapsed, 2m left
   45.6%  4120/4746 slices  0.44B/0.97B positions  4.1M/s  2m elapsed, 2m left
   47.7%  4244/4746 slices  0.46B/0.97B positions  4.1M/s  2m elapsed, 2m left
   49.6%  4299/4746 slices  0.48B/0.97B positions  4.1M/s  2m elapsed, 2m left
   51.5%  4436/4746 slices  0.50B/0.97B positions  4.1M/s  2m elapsed, 2m left
   53.8%  4496/4746 slices  0.52B/0.97B positions  4.1M/s  2m elapsed, 2m left
   56.0%  4508/4746 slices  0.54B/0.97B positions  4.0M/s  2m elapsed, 2m left
   58.5%  4522/4746 slices  0.56B/0.97B positions  4.1M/s  2m elapsed, 2m left
   61.0%  4532/4746 slices  0.59B/0.97B positions  4.1M/s  2m elapsed, 2m left
   63.7%  4544/4746 slices  0.61B/0.97B positions  4.1M/s  3m elapsed, 86s left
   66.7%  4556/4746 slices  0.64B/0.97B positions  4.1M/s  3m elapsed, 79s left
   71.3%  4558/4746 slices  0.69B/0.97B positions  4.1M/s  3m elapsed, 68s left
   73.4%  4567/4746 slices  0.71B/0.97B positions  4.1M/s  3m elapsed, 63s left
   75.3%  4576/4746 slices  0.73B/0.97B positions  4.0M/s  3m elapsed, 59s left
   78.6%  4579/4746 slices  0.76B/0.97B positions  4.0M/s  3m elapsed, 51s left
   80.7%  4586/4746 slices  0.78B/0.97B positions  4.0M/s  3m elapsed, 46s left
   83.1%  4588/4746 slices  0.80B/0.97B positions  4.0M/s  3m elapsed, 40s left
   86.3%  4597/4746 slices  0.83B/0.97B positions  4.1M/s  3m elapsed, 33s left
   89.4%  4599/4746 slices  0.86B/0.97B positions  4.1M/s  4m elapsed, 25s left
   91.8%  4601/4746 slices  0.89B/0.97B positions  4.1M/s  4m elapsed, 19s left
   94.0%  4609/4746 slices  0.91B/0.97B positions  4.1M/s  4m elapsed, 14s left
   96.1%  4617/4746 slices  0.93B/0.97B positions  4.1M/s  4m elapsed, 9s left
   98.1%  4658/4746 slices  0.95B/0.97B positions  4.1M/s  4m elapsed, 4s left
  100.0%  4746/4746 slices  0.97B/0.97B positions  4.1M/s  4m elapsed, 0s left
  wdl, no mirror : 965036180 positions, 230.10 MiB
    4.5%  959/2386 slices  0.02B/0.49B positions  4.4M/s  5s elapsed, 2m left
    8.8%  1177/2386 slices  0.04B/0.49B positions  4.2M/s  10s elapsed, 2m left
   13.8%  1196/2386 slices  0.07B/0.49B positions  4.3M/s  16s elapsed, 2m left
   19.0%  1369/2386 slices  0.09B/0.49B positions  4.4M/s  21s elapsed, 89s left
   23.3%  1466/2386 slices  0.11B/0.49B positions  4.4M/s  26s elapsed, 85s left
   27.2%  1536/2386 slices  0.13B/0.49B positions  4.3M/s  31s elapsed, 83s left
   31.4%  1605/2386 slices  0.15B/0.49B positions  4.3M/s  36s elapsed, 79s left
   35.2%  1763/2386 slices  0.17B/0.49B positions  4.2M/s  41s elapsed, 75s left
   39.3%  1906/2386 slices  0.19B/0.49B positions  4.2M/s  46s elapsed, 71s left
   43.3%  2008/2386 slices  0.21B/0.49B positions  4.1M/s  51s elapsed, 67s left
   47.4%  2119/2386 slices  0.23B/0.49B positions  4.1M/s  56s elapsed, 62s left
   51.3%  2219/2386 slices  0.25B/0.49B positions  4.1M/s  61s elapsed, 58s left
   55.7%  2262/2386 slices  0.27B/0.49B positions  4.1M/s  67s elapsed, 53s left
   59.6%  2266/2386 slices  0.29B/0.49B positions  4.0M/s  73s elapsed, 49s left
   66.5%  2270/2386 slices  0.32B/0.49B positions  4.1M/s  80s elapsed, 40s left
   71.6%  2276/2386 slices  0.35B/0.49B positions  4.1M/s  86s elapsed, 34s left
   79.0%  2280/2386 slices  0.38B/0.49B positions  4.1M/s  2m elapsed, 25s left
   84.2%  2281/2386 slices  0.41B/0.49B positions  4.1M/s  2m elapsed, 19s left
   89.1%  2284/2386 slices  0.43B/0.49B positions  4.1M/s  2m elapsed, 13s left
   94.4%  2287/2386 slices  0.46B/0.49B positions  4.1M/s  2m elapsed, 7s left
   98.3%  2359/2386 slices  0.48B/0.49B positions  4.0M/s  2m elapsed, 2s left
  100.0%  2386/2386 slices  0.49B/0.49B positions  4.0M/s  2m elapsed, 0s left
  wdl, mirrored  : 487007706 positions, 116.12 MiB
    2.1%  1224/4746 slices  0.02B/0.97B positions  4.1M/s  5s elapsed, 4m left
    3.9%  1671/4746 slices  0.04B/0.97B positions  3.8M/s  10s elapsed, 4m left
    5.7%  2181/4746 slices  0.05B/0.97B positions  3.6M/s  15s elapsed, 4m left
    7.5%  2339/4746 slices  0.07B/0.97B positions  3.6M/s  20s elapsed, 4m left
    9.5%  2381/4746 slices  0.09B/0.97B positions  3.6M/s  25s elapsed, 4m left
   11.4%  2395/4746 slices  0.11B/0.97B positions  3.6M/s  31s elapsed, 4m left
   13.4%  2419/4746 slices  0.13B/0.97B positions  3.5M/s  36s elapsed, 4m left
   15.4%  2539/4746 slices  0.15B/0.97B positions  3.6M/s  41s elapsed, 4m left
   18.0%  2703/4746 slices  0.17B/0.97B positions  3.7M/s  46s elapsed, 4m left
   19.8%  2787/4746 slices  0.19B/0.97B positions  3.7M/s  52s elapsed, 3m left
   21.7%  2865/4746 slices  0.21B/0.97B positions  3.7M/s  57s elapsed, 3m left
   23.3%  2926/4746 slices  0.22B/0.97B positions  3.6M/s  62s elapsed, 3m left
   25.0%  2985/4746 slices  0.24B/0.97B positions  3.6M/s  67s elapsed, 3m left
   26.5%  3045/4746 slices  0.26B/0.97B positions  3.6M/s  72s elapsed, 3m left
   28.2%  3091/4746 slices  0.27B/0.97B positions  3.5M/s  77s elapsed, 3m left
   29.9%  3141/4746 slices  0.29B/0.97B positions  3.5M/s  82s elapsed, 3m left
   31.7%  3193/4746 slices  0.31B/0.97B positions  3.5M/s  87s elapsed, 3m left
   33.3%  3312/4746 slices  0.32B/0.97B positions  3.5M/s  2m elapsed, 3m left
   35.0%  3470/4746 slices  0.34B/0.97B positions  3.5M/s  2m elapsed, 3m left
   36.5%  3580/4746 slices  0.35B/0.97B positions  3.4M/s  2m elapsed, 3m left
   38.1%  3624/4746 slices  0.37B/0.97B positions  3.4M/s  2m elapsed, 3m left
   39.7%  3767/4746 slices  0.38B/0.97B positions  3.4M/s  2m elapsed, 3m left
   41.3%  3896/4746 slices  0.40B/0.97B positions  3.4M/s  2m elapsed, 3m left
   43.0%  3971/4746 slices  0.42B/0.97B positions  3.4M/s  2m elapsed, 3m left
   44.7%  4012/4746 slices  0.43B/0.97B positions  3.4M/s  2m elapsed, 3m left
   46.4%  4170/4746 slices  0.45B/0.97B positions  3.4M/s  2m elapsed, 3m left
   48.1%  4259/4746 slices  0.46B/0.97B positions  3.4M/s  2m elapsed, 2m left
   49.7%  4301/4746 slices  0.48B/0.97B positions  3.3M/s  2m elapsed, 2m left
   51.3%  4420/4746 slices  0.49B/0.97B positions  3.3M/s  2m elapsed, 2m left
   53.8%  4496/4746 slices  0.52B/0.97B positions  3.3M/s  3m elapsed, 2m left
   55.0%  4507/4746 slices  0.53B/0.97B positions  3.3M/s  3m elapsed, 2m left
   56.9%  4516/4746 slices  0.55B/0.97B positions  3.3M/s  3m elapsed, 2m left
