plan: 4512 slices, 9.470B positions  [win/draw/loss, 2 bits, mirror symmetry]
  tables                 2.20 GiB resident for the whole run
  largest slice          KQRBNkqrbn, 645.8M positions
  its working memory     3.61 GiB (worst case; measured peaks run near half this)
  projected peak         5.81 GiB
  projected time         43m at 3.7M positions/s

    0.2%  950/4512 slices  0.02B/9.47B positions  4.4M/s  5s elapsed, 36m left
    0.4%  1176/4512 slices  0.04B/9.47B positions  4.2M/s  10s elapsed, 37m left
    0.7%  1196/4512 slices  0.07B/9.47B positions  4.2M/s  16s elapsed, 37m left
    1.0%  1369/4512 slices  0.09B/9.47B positions  4.4M/s  21s elapsed, 35m left
    1.2%  1465/4512 slices  0.11B/9.47B positions  4.4M/s  26s elapsed, 36m left
    1.4%  1536/4512 slices  0.13B/9.47B positions  4.3M/s  31s elapsed, 36m left
    1.6%  1605/4512 slices  0.15B/9.47B positions  4.2M/s  36s elapsed, 37m left
    1.8%  1764/4512 slices  0.17B/9.47B positions  4.2M/s  41s elapsed, 37m left
    2.0%  1906/4512 slices  0.19B/9.47B positions  4.1M/s  46s elapsed, 37m left
    2.2%  2007/4512 slices  0.21B/9.47B positions  4.1M/s  51s elapsed, 38m left
    2.4%  2117/4512 slices  0.23B/9.47B positions  4.1M/s  56s elapsed, 38m left
    2.6%  2219/4512 slices  0.25B/9.47B positions  4.1M/s  61s elapsed, 38m left
    2.9%  2262/4512 slices  0.27B/9.47B positions  4.0M/s  67s elapsed, 38m left
    3.1%  2266/4512 slices  0.29B/9.47B positions  4.0M/s  73s elapsed, 38m left
    3.4%  2270/4512 slices  0.32B/9.47B positions  4.0M/s  80s elapsed, 38m left
    3.7%  2276/4512 slices  0.35B/9.47B positions  4.1M/s  86s elapsed, 37m left
    4.1%  2280/4512 slices  0.38B/9.47B positions  4.1M/s  2m elapsed, 37m left
    4.3%  2281/4512 slices  0.41B/9.47B positions  4.1M/s  2m elapsed, 37m left
