plan: 4512 slices, 9.470B positions  [win/draw/loss WITH the fifty-move rule, 2 bits, mirror symmetry]
  tables                 2.20 GiB resident for the whole run
  largest slice          KQRBNkqrbn, 645.8M positions
  its working memory     4.21 GiB (worst case; measured peaks run near half this)
  projected peak         6.41 GiB
  projected time         43m at 3.7M positions/s

    0.2%  935/4512 slices  0.02B/9.47B positions  4.2M/s  5s elapsed, 37m left
    0.4%  1175/4512 slices  0.04B/9.47B positions  4.0M/s  10s elapsed, 39m left
    0.7%  1195/4512 slices  0.06B/9.47B positions  4.1M/s  15s elapsed, 38m left
    0.9%  1333/4512 slices  0.09B/9.47B positions  4.3M/s  20s elapsed, 37m left
    1.1%  1440/4512 slices  0.11B/9.47B positions  4.3M/s  25s elapsed, 37m left
    1.3%  1510/4512 slices  0.13B/9.47B positions  4.2M/s  30s elapsed, 37m left
    1.5%  1574/4512 slices  0.14B/9.47B positions  4.1M/s  35s elapsed, 38m left
    1.7%  1726/4512 slices  0.16B/9.47B positions  4.1M/s  40s elapsed, 38m left
    1.9%  1826/4512 slices  0.18B/9.47B positions  4.0M/s  45s elapsed, 39m left
    2.1%  1954/4512 slices  0.20B/9.47B positions  4.0M/s  50s elapsed, 39m left
    2.3%  2082/4512 slices  0.22B/9.47B positions  4.0M/s  55s elapsed, 39m left
    2.5%  2171/4512 slices  0.24B/9.47B positions  3.9M/s  60s elapsed, 39m left
    2.7%  2253/4512 slices  0.26B/9.47B positions  3.9M/s  66s elapsed, 39m left
    2.9%  2264/4512 slices  0.28B/9.47B positions  3.9M/s  72s elapsed, 40m left
    3.2%  2268/4512 slices  0.30B/9.47B positions  3.9M/s  77s elapsed, 39m left
    3.4%  2270/4512 slices  0.32B/9.47B positions  3.9M/s  83s elapsed, 39m left
    3.7%  2276/4512 slices  0.35B/9.47B positions  3.9M/s  89s elapsed, 39m left
    4.1%  2280/4512 slices  0.38B/9.47B positions  3.9M/s  2m elapsed, 38m left
    4.3%  2281/4512 slices  0.41B/9.47B positions  3.9M/s  2m elapsed, 38m left
    4.6%  2284/4512 slices  0.43B/9.47B positions  3.9M/s  2m elapsed, 38m left
    4.9%  2287/4512 slices  0.46B/9.47B positions  3.9M/s  2m elapsed, 38m left
    5.1%  2359/4512 slices  0.48B/9.47B positions  3.9M/s  2m elapsed, 38m left
    5.4%  2414/4512 slices  0.51B/9.47B positions  4.0M/s  2m elapsed, 37m left
    5.6%  2441/4512 slices  0.53B/9.47B positions  4.0M/s  2m elapsed, 37m left
    5.9%  2463/4512 slices  0.56B/9.47B positions  4.0M/s  2m elapsed, 37m left
    6.1%  2488/4512 slices  0.58B/9.47B positions  4.0M/s  2m elapsed, 37m left
    6.3%  2504/4512 slices  0.59B/9.47B positions  4.0M/s  2m elapsed, 37m left
    6.5%  2516/4512 slices  0.62B/9.47B positions  4.0M/s  3m elapsed, 37m left
    6.7%  2536/4512 slices  0.63B/9.47B positions  4.0M/s  3m elapsed, 37m left
    6.9%  2548/4512 slices  0.65B/9.47B positions  4.0M/s  3m elapsed, 37m left
    7.1%  2558/4512 slices  0.67B/9.47B positions  4.0M/s  3m elapsed, 37m left
    7.3%  2569/4512 slices  0.69B/9.47B positions  4.0M/s  3m elapsed, 37m left
    7.5%  2584/4512 slices  0.71B/9.47B positions  3.9M/s  3m elapsed, 37m left
    7.7%  2599/4512 slices  0.73B/9.47B positions  3.9M/s  3m elapsed, 37m left
    7.9%  2609/4512 slices  0.75B/9.47B positions  3.9M/s  3m elapsed, 37m left
    8.2%  2619/4512 slices  0.77B/9.47B positions  3.9M/s  3m elapsed, 37m left
    8.4%  2631/4512 slices  0.79B/9.47B positions  3.9M/s  3m elapsed, 37m left
    8.5%  2691/4512 slices  0.81B/9.47B positions  3.9M/s  3m elapsed, 37m left
    8.8%  2740/4512 slices  0.83B/9.47B positions  3.9M/s  4m elapsed, 37m left
    9.0%  2766/4512 slices  0.85B/9.47B positions  3.9M/s  4m elapsed, 37m left
    9.1%  2800/4512 slices  0.87B/9.47B positions  3.9M/s  4m elapsed, 37m left
    9.3%  2815/4512 slices  0.88B/9.47B positions  3.9M/s  4m elapsed, 37m left
    9.6%  2835/4512 slices  0.91B/9.47B positions  3.9M/s  4m elapsed, 37m left
    9.8%  2860/4512 slices  0.93B/9.47B positions  3.9M/s  4m elapsed, 37m left
    9.9%  2907/4512 slices  0.94B/9.47B positions  3.8M/s  4m elapsed, 37m left
   10.2%  2946/4512 slices  0.96B/9.47B positions  3.8M/s  4m elapsed, 37m left
   10.4%  2968/4512 slices  0.98B/9.47B positions  3.8M/s  4m elapsed, 37m left
   10.5%  3000/4512 slices  1.00B/9.47B positions  3.8M/s  4m elapsed, 37m left
   10.7%  3015/4512 slices  1.02B/9.47B positions  3.8M/s  4m elapsed, 37m left
   11.0%  3032/4512 slices  1.04B/9.47B positions  3.8M/s  5m elapsed, 37m left
   11.2%  3058/4512 slices  1.06B/9.47B positions  3.8M/s  5m elapsed, 37m left
